Objeto,Categoria
"* Registro de preços *  Contratação de empresa especializada em prestação de serviços técnicos especializados de gerenciamento e assessoria à fiscalização de obras e projetos de infraestrutura urbana no município de Barra Velha, por meio do Si...",30101
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA INSTALAÇÃO CORRIMÃOS E SISTEMA DE PROTEÇÃO, PREVENÇÃO E SEGURANÇA CONTRA INCÊNDIO PPCI DE PRIMEIRA QUALIDADE NO GINÁSIO DA LINHA SANTA ANA INTERIOR DO MU...",10110
"* Registro de preços * * Licitação Eletrônica * CONTRATAÇÃO DE EMPRESAS ESPECIALIZADAS OBJETIVANDO A PRESTAÇÃO DE SERVIÇOS DE ELÉTRICA, PEDREIRO, SERVENTE DE PEDREIRO, CARPINTEIRO, ELETRICISTA, PINTOR, CALCETEIRO COM FORNECIMENTO DE PEDRAS PARA...",10110
"Contratação de empresa especializada para prestação de serviços de manutenção preventiva e corretiva do parque de informática, conforme condições, quantidades e exigências estabelecidas neste edital e seus anexos.",10110
"- Contratação de empresa especializada para prestação contínua de serviços comuns de engenharia para realização de atividades técnicas de operação, manutenção preventiva, corretiva e preditiva nas redes de instalações elétricas, hidráuli...",10110
"Contratação de empresa especializada para realização de levantamento prévio das comunidades pesqueiras e demais dados relacionados no território marinho da área de influência indireta da Portos do Paraná municípios de Pontal do Paraná, Paranag...",30201
"Seleção de empresa do ramo da construção civil para o desenvolvimento do Programa Municipal de Habitação Nossa Casa, visando a incorporação de imóvel e construção de unidades habitacionais na forma de condomínio vertical, modalidade imóvel n...",10101
"CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE ENROCAMENTOS NA AVENIDA MINISTRO MARCOS FREIRE, ENTRE AS PRAIAS DE BAIRRO NOVO E RIO DOCE NO MUNICÍPIO DE OLINDA-PE",10205
"CONTRATAÇÃO DE UMA EMPRESA DE ARQUITETURA/ENGENHARIA PARA OBRA DE REQUALIFICAÇÃO E RESTAURO DO MERCADO DA RIBEIRA, LOCALIZADO NA RUA DE SÃO BENTO, S/N, VARADOURO, MUNICÍPIO DE OLINDA/PE",10101
"Contratação de empresa para execução de manutenção preventiva e corretiva, serviços comerciais e serviços emergenciais na rede de distribuição de energia elétrica para toda área de concessão da COCEL, de acordo com as descrições e quantida...",10208
SERVIÇOS DE DRENAGEM PLUVIAL DE VIAS URBANAS NA SEDE DO MUNICÍPIO DE   MUNICÍPIO  DE SANTA QUITÉRIA DO MARANHÃO/MA - ** www.comprasbr.com.br **,10205
